category2_1   Αγορές Εμπορευμάτων
category2_2   Αγορές Α'-Β' Υλών
category2_3   Λήψη Υπηρεσιών
category2_4   Γενικά Έξοδα με δικαίωμα έκπτωσης ΦΠΑ
category2_5   Γενικά Έξοδα χωρίς δικαίωμα έκπτωσης ΦΠΑ
category2_6   Αμοιβές και Παροχές προσωπικού
category2_7   Αγορές Παγίων
category2_8   Αποσβέσεις Παγίων
category2_9   Έξοδα για λ/σμο τρίτων
category2_10  Έξοδα προηγούμενων χρήσεων
category2_11  Έξοδα επομένων χρήσεων
category2_12  Λοιπές Εγγραφές Τακτοποίησης Εξόδων
category2_13  Αποθέματα Έναρξης Περιόδου
category2_14  Αποθέματα Λήξης Περιόδου
category2_95  Λοιπά Πληροφοριακά Στοιχεία Εξόδων
